index,label_name,label
285,noisy,1
286,too_low_volume,2
287,too_low_volume,2
288,clean,0
289,clean,0
290,too_low_volume,2
291,too_low_volume,2
292,too_low_volume,2
293,too_low_volume,2
294,too_low_volume,2
295,clean,0
296,too_low_volume,2
297,clean,0
298,noisy,1
299,too_low_volume,2
300,too_low_volume,2
301,too_low_volume,2
302,too_low_volume,2
303,clean,0
304,noisy,1
305,noisy,1
306,too_low_volume,2
307,too_low_volume,2
308,too_low_volume,2
309,noisy,1
310,clean,0
311,too_low_volume,2
312,too_low_volume,2
313,clean,0
314,clean,0
316,clean,0
317,too_low_volume,2
318,too_low_volume,2
319,noisy,1
320,noisy,1
321,noisy,1
322,too_low_volume,2
323,noisy,1
324,clean,0
325,clean,0
326,clean,0
327,clean,0
328,noisy,1
329,too_low_volume,2
330,noisy,1
331,too_low_volume,2
332,too_low_volume,2
333,too_low_volume,2
334,noisy,1
335,too_low_volume,2
336,clean,0
337,clean,0
338,noisy,1
339,clean,0
340,too_low_volume,2
341,clean,0
342,too_low_volume,2
343,clean,0
344,too_low_volume,2
345,too_low_volume,2
346,too_low_volume,2
347,too_low_volume,2
348,too_low_volume,2
349,noisy,1
350,clean,0
351,too_low_volume,2
352,noisy,1
353,clean,0
354,clean,0
355,noisy,1
356,too_low_volume,2
357,too_low_volume,2
358,clean,0
359,too_low_volume,2
360,too_low_volume,2
361,clean,0
362,noisy,1
363,noisy,1
364,clean,0
365,too_low_volume,2
367,too_low_volume,2
368,too_low_volume,2
369,too_low_volume,2
370,too_low_volume,2
372,clean,0
373,too_low_volume,2
374,clean,0
375,too_low_volume,2
376,noisy,1
377,too_low_volume,2
378,too_low_volume,2
379,too_low_volume,2
380,clean,0
381,clean,0
382,clean,0
383,noisy,1
384,too_low_volume,2
385,too_low_volume,2
386,clean,0
387,too_low_volume,2
388,clean,0
389,too_low_volume,2
390,too_low_volume,2
391,too_low_volume,2
392,clean,0
393,clean,0
394,noisy,1
395,too_low_volume,2
396,noisy,1
397,clean,0
398,too_low_volume,2
399,too_low_volume,2
400,noisy,1
401,clean,0
403,too_low_volume,2
404,noisy,1
405,clean,0
406,noisy,1
407,too_low_volume,2
408,too_low_volume,2
409,too_low_volume,2
410,too_low_volume,2
411,too_low_volume,2
412,clean,0
413,too_low_volume,2
414,clean,0
415,too_low_volume,2
416,noisy,1
417,too_low_volume,2
418,noisy,1
419,too_low_volume,2
420,too_low_volume,2
421,noisy,1
422,noisy,1
423,noisy,1
424,noisy,1
425,clean,0
426,too_low_volume,2
427,clean,0
428,noisy,1
429,noisy,1
430,clean,0
431,too_low_volume,2
432,clean,0
433,clean,0
434,clean,0
435,noisy,1
436,too_low_volume,2
437,clean,0
438,clean,0
439,too_low_volume,2
440,too_low_volume,2
441,clean,0
442,too_low_volume,2
443,too_low_volume,2
444,clean,0
445,too_low_volume,2
446,too_low_volume,2
447,too_low_volume,2
448,clean,0
449,too_low_volume,2
450,clean,0
451,clean,0
452,noisy,1
453,clean,0
454,noisy,1
455,too_low_volume,2
456,too_low_volume,2
457,noisy,1
458,clean,0
459,too_low_volume,2
460,too_low_volume,2
461,clean,0
462,clean,0
463,clean,0
464,clean,0
465,too_low_volume,2
466,clean,0
467,too_low_volume,2
468,clean,0
469,noisy,1
470,too_low_volume,2
471,clean,0
472,noisy,1
473,clean,0
474,too_low_volume,2
475,noisy,1
476,too_low_volume,2
477,too_low_volume,2
478,too_low_volume,2
479,too_low_volume,2
480,too_low_volume,2
481,too_low_volume,2
482,too_low_volume,2
483,clean,0
484,too_low_volume,2
485,too_low_volume,2
486,noisy,1
487,noisy,1
488,noisy,1
489,too_low_volume,2
490,clean,0
491,clean,0
492,noisy,1
493,clean,0
494,noisy,1
495,too_low_volume,2
496,noisy,1
497,clean,0
499,too_low_volume,2
500,noisy,1
501,noisy,1
502,too_low_volume,2
503,too_low_volume,2
504,noisy,1
505,clean,0
507,too_low_volume,2
508,noisy,1
509,too_low_volume,2
510,clean,0
511,too_low_volume,2
512,too_low_volume,2
513,too_low_volume,2
514,too_low_volume,2
515,clean,0
516,too_low_volume,2
518,too_low_volume,2
519,noisy,1
520,clean,0
521,noisy,1
522,noisy,1
523,clean,0
524,too_low_volume,2
525,noisy,1
526,clean,0
527,too_low_volume,2
528,clean,0
529,noisy,1
530,noisy,1
531,clean,0
532,clean,0
533,clean,0
534,too_low_volume,2
535,noisy,1
536,noisy,1
537,too_low_volume,2
538,noisy,1
539,too_low_volume,2
540,too_low_volume,2
541,too_low_volume,2
542,too_low_volume,2
543,too_low_volume,2
544,too_low_volume,2
545,too_low_volume,2
546,noisy,1
547,clean,0
548,noisy,1
549,too_low_volume,2
550,clean,0
551,too_low_volume,2
552,too_low_volume,2
553,noisy,1
554,noisy,1
555,noisy,1
556,too_low_volume,2
557,too_low_volume,2
558,clean,0
559,clean,0
560,noisy,1
561,clean,0
562,too_low_volume,2
563,noisy,1
564,clean,0
565,too_low_volume,2
566,too_low_volume,2
567,too_low_volume,2
568,too_low_volume,2
569,noisy,1
570,noisy,1
571,noisy,1
572,too_low_volume,2
573,noisy,1
574,too_low_volume,2
575,clean,0
576,clean,0
577,too_low_volume,2
578,too_low_volume,2
579,clean,0
580,too_low_volume,2
581,noisy,1
582,noisy,1
583,too_low_volume,2
584,too_low_volume,2
585,clean,0
586,noisy,1
587,clean,0
588,noisy,1
589,noisy,1
590,too_low_volume,2
591,clean,0
592,too_low_volume,2
593,too_low_volume,2
594,too_low_volume,2
595,noisy,1
596,clean,0
597,noisy,1
598,too_low_volume,2
599,too_low_volume,2
600,too_low_volume,2
601,noisy,1
602,clean,0
603,too_low_volume,2
604,too_low_volume,2
605,too_low_volume,2
606,too_low_volume,2
607,clean,0
608,too_low_volume,2
609,too_low_volume,2
610,clean,0
611,noisy,1
612,noisy,1
613,clean,0
614,too_low_volume,2
615,clean,0
616,clean,0
617,too_low_volume,2
618,clean,0
619,clean,0
620,clean,0
621,noisy,1
622,too_low_volume,2
623,noisy,1
624,too_low_volume,2
625,clean,0
626,too_low_volume,2
627,too_low_volume,2
628,noisy,1
629,clean,0
630,too_low_volume,2
631,clean,0
632,too_low_volume,2
633,too_low_volume,2
634,too_low_volume,2
635,noisy,1
636,clean,0
637,clean,0
638,too_low_volume,2
639,noisy,1
640,noisy,1
641,too_low_volume,2
642,too_low_volume,2
643,too_low_volume,2
644,clean,0
645,noisy,1
646,noisy,1
647,noisy,1
648,too_low_volume,2
649,too_low_volume,2
650,too_low_volume,2
651,clean,0
652,noisy,1
653,too_low_volume,2
654,too_low_volume,2
655,too_low_volume,2
656,too_low_volume,2
657,clean,0
658,noisy,1
659,too_low_volume,2
660,noisy,1
661,too_low_volume,2
662,too_low_volume,2
663,noisy,1
664,noisy,1
665,too_low_volume,2
666,noisy,1
667,clean,0
668,clean,0
669,noisy,1
670,clean,0
671,clean,0
672,clean,0
673,noisy,1
674,clean,0
675,noisy,1
676,too_low_volume,2
677,too_low_volume,2
678,noisy,1
679,too_low_volume,2
680,noisy,1
681,too_low_volume,2
682,too_low_volume,2
683,noisy,1
684,too_low_volume,2
685,too_low_volume,2
686,too_low_volume,2
687,clean,0
688,too_low_volume,2
689,clean,0
690,too_low_volume,2
691,too_low_volume,2
692,too_low_volume,2
693,too_low_volume,2
694,noisy,1
695,noisy,1
696,clean,0
697,too_low_volume,2
698,too_low_volume,2
699,clean,0
700,too_low_volume,2
701,clean,0
702,clean,0
703,too_low_volume,2
704,too_low_volume,2
705,too_low_volume,2
706,noisy,1
707,too_low_volume,2
708,noisy,1
709,noisy,1
710,too_low_volume,2
711,too_low_volume,2
712,too_low_volume,2
713,noisy,1
714,too_low_volume,2
715,clean,0
716,too_low_volume,2
717,too_low_volume,2
718,noisy,1
719,too_low_volume,2
720,too_low_volume,2
721,noisy,1
722,too_low_volume,2
723,too_low_volume,2
724,too_low_volume,2
725,too_low_volume,2
726,noisy,1
727,noisy,1
728,too_low_volume,2
729,too_low_volume,2
730,noisy,1
731,too_low_volume,2
732,clean,0
733,clean,0
734,too_low_volume,2
735,too_low_volume,2
736,too_low_volume,2
737,noisy,1
738,clean,0
739,too_low_volume,2
740,too_low_volume,2
741,clean,0
742,clean,0
743,clean,0
744,too_low_volume,2
745,clean,0
746,too_low_volume,2
747,too_low_volume,2
748,too_low_volume,2
749,noisy,1
750,clean,0
751,clean,0
752,too_low_volume,2
753,too_low_volume,2
754,clean,0
755,too_low_volume,2
756,noisy,1
758,too_low_volume,2
759,too_low_volume,2
760,too_low_volume,2
761,noisy,1
762,too_low_volume,2
763,too_low_volume,2
764,clean,0
765,too_low_volume,2
766,too_low_volume,2
767,clean,0
768,too_low_volume,2
769,noisy,1
770,noisy,1
771,noisy,1
772,noisy,1
773,clean,0
774,too_low_volume,2
775,noisy,1
776,clean,0
777,noisy,1
778,clean,0
779,too_low_volume,2
780,noisy,1
781,clean,0
782,too_low_volume,2
783,noisy,1
784,clean,0
785,too_low_volume,2
786,clean,0
787,too_low_volume,2
788,clean,0
789,too_low_volume,2
790,clean,0
791,clean,0
792,noisy,1
793,too_low_volume,2
794,clean,0
795,too_low_volume,2
796,too_low_volume,2
797,noisy,1
798,too_low_volume,2
799,too_low_volume,2
800,too_low_volume,2
801,too_low_volume,2
802,noisy,1
803,too_low_volume,2
804,too_low_volume,2
805,too_low_volume,2
806,noisy,1
807,clean,0
808,clean,0
809,clean,0
810,clean,0
811,clean,0
812,clean,0
813,clean,0
814,noisy,1
815,clean,0
816,noisy,1
817,clean,0
818,too_low_volume,2
819,clean,0
821,noisy,1
822,noisy,1
823,too_low_volume,2
824,clean,0
825,noisy,1
826,clean,0
827,noisy,1
828,noisy,1
830,too_low_volume,2
831,too_low_volume,2
832,clean,0
833,clean,0
835,too_low_volume,2
836,clean,0
837,too_low_volume,2
838,noisy,1
839,noisy,1
840,too_low_volume,2
841,noisy,1
842,clean,0
843,clean,0
844,noisy,1
845,noisy,1
846,noisy,1
847,clean,0
850,too_low_volume,2
851,noisy,1
852,clean,0
853,clean,0
854,too_low_volume,2
855,too_low_volume,2
856,too_low_volume,2
857,clean,0
858,too_low_volume,2
859,too_low_volume,2
860,clean,0
861,clean,0
862,too_low_volume,2
863,clean,0
864,too_low_volume,2
865,clean,0
866,too_low_volume,2
867,clean,0
868,too_low_volume,2
869,clean,0
870,clean,0
871,too_low_volume,2
872,too_low_volume,2
873,too_low_volume,2
874,too_low_volume,2
875,too_low_volume,2
876,noisy,1
877,too_low_volume,2
878,noisy,1
879,too_low_volume,2
880,noisy,1
881,clean,0
882,clean,0
883,too_low_volume,2
884,too_low_volume,2
885,noisy,1
886,too_low_volume,2
887,too_low_volume,2
888,noisy,1
889,clean,0
890,clean,0
891,too_low_volume,2
892,clean,0
893,noisy,1
894,noisy,1
895,clean,0
896,noisy,1
897,too_low_volume,2
898,clean,0
899,too_low_volume,2
901,noisy,1
902,too_low_volume,2
903,too_low_volume,2
904,too_low_volume,2
905,too_low_volume,2
906,clean,0
907,noisy,1
908,too_low_volume,2
910,too_low_volume,2
911,noisy,1
912,too_low_volume,2
913,noisy,1
914,clean,0
915,too_low_volume,2
916,noisy,1
917,clean,0
918,too_low_volume,2
919,noisy,1
920,noisy,1
921,too_low_volume,2
922,too_low_volume,2
923,noisy,1
924,too_low_volume,2
925,noisy,1
926,clean,0
927,too_low_volume,2
928,clean,0
929,too_low_volume,2
930,noisy,1
931,too_low_volume,2
932,too_low_volume,2
933,noisy,1
934,too_low_volume,2
935,clean,0
936,noisy,1
937,clean,0
938,noisy,1
939,noisy,1
940,too_low_volume,2
941,too_low_volume,2
942,noisy,1
943,clean,0
944,too_low_volume,2
945,clean,0
946,clean,0
947,noisy,1
948,noisy,1
949,too_low_volume,2
950,too_low_volume,2
951,clean,0
952,clean,0
953,noisy,1
954,clean,0
955,too_low_volume,2
956,clean,0
957,too_low_volume,2
958,clean,0
959,too_low_volume,2
960,too_low_volume,2
961,clean,0
962,too_low_volume,2
963,noisy,1
964,noisy,1
965,too_low_volume,2
966,noisy,1
967,clean,0
968,noisy,1
970,noisy,1
971,noisy,1
972,noisy,1
973,too_low_volume,2
974,too_low_volume,2
975,clean,0
976,noisy,1
977,too_low_volume,2
978,too_low_volume,2
979,noisy,1
980,too_low_volume,2
982,too_low_volume,2
983,too_low_volume,2
984,noisy,1
985,clean,0
986,noisy,1
987,noisy,1
988,too_low_volume,2
989,clean,0
990,too_low_volume,2
991,noisy,1
992,too_low_volume,2
993,too_low_volume,2
994,clean,0
995,too_low_volume,2
996,clean,0
997,noisy,1
998,too_low_volume,2
999,clean,0
1000,clean,0
1001,too_low_volume,2
1002,too_low_volume,2
1003,clean,0
1004,clean,0
1005,too_low_volume,2
1007,noisy,1
1008,noisy,1
1009,noisy,1
1010,too_low_volume,2
1011,too_low_volume,2
1012,noisy,1
1013,clean,0
1014,clean,0
1015,clean,0
1016,noisy,1
1017,too_low_volume,2
1018,noisy,1
1019,too_low_volume,2
1020,noisy,1
1021,too_low_volume,2
1022,clean,0
1023,clean,0
1024,clean,0
1025,clean,0
1026,clean,0
1027,noisy,1
1028,clean,0
1029,noisy,1
1030,too_low_volume,2
1031,too_low_volume,2
1032,too_low_volume,2
1033,too_low_volume,2
1034,noisy,1
1035,too_low_volume,2
1036,noisy,1
1037,clean,0
1038,clean,0
1039,too_low_volume,2
1040,clean,0
1041,too_low_volume,2
1042,too_low_volume,2
1043,too_low_volume,2
1044,too_low_volume,2
1045,clean,0
1046,noisy,1
1047,clean,0
1048,noisy,1
1049,too_low_volume,2
1050,too_low_volume,2
1051,clean,0
1052,too_low_volume,2
1053,too_low_volume,2
1054,clean,0
1055,too_low_volume,2
1056,too_low_volume,2
1057,clean,0
1058,clean,0
1059,too_low_volume,2
1060,noisy,1
1061,clean,0
1062,clean,0
1063,too_low_volume,2
1064,too_low_volume,2
1065,too_low_volume,2
1066,too_low_volume,2
1067,noisy,1
1068,too_low_volume,2
1069,too_low_volume,2
1070,noisy,1
1071,noisy,1
1072,noisy,1
1073,too_low_volume,2
1074,noisy,1
1075,too_low_volume,2
1076,clean,0
1077,too_low_volume,2
1078,too_low_volume,2
1079,noisy,1
1080,noisy,1
1082,too_low_volume,2
1083,noisy,1
1084,clean,0
1085,too_low_volume,2
1086,noisy,1
1087,too_low_volume,2
1088,clean,0
1089,noisy,1
1090,clean,0
1091,noisy,1
1092,clean,0
1093,clean,0
1094,clean,0
1095,too_low_volume,2
1096,clean,0
1097,clean,0
1098,noisy,1
1099,clean,0
1100,too_low_volume,2
1101,noisy,1
1102,too_low_volume,2
1103,clean,0
1104,clean,0
1105,clean,0
1106,too_low_volume,2
1107,clean,0
1108,noisy,1
1109,clean,0
1110,too_low_volume,2
1111,too_low_volume,2
1112,too_low_volume,2
1113,too_low_volume,2
1114,noisy,1
1115,too_low_volume,2
1116,too_low_volume,2
1117,clean,0
1119,noisy,1
1120,clean,0
1121,noisy,1
1122,noisy,1
1123,too_low_volume,2
1124,too_low_volume,2
1125,clean,0
1126,clean,0
1127,noisy,1
1128,noisy,1
1129,too_low_volume,2
1130,too_low_volume,2
1131,noisy,1
1132,noisy,1
1133,clean,0
1134,noisy,1
1135,too_low_volume,2
1136,clean,0
1137,too_low_volume,2
1138,clean,0
1139,too_low_volume,2
1140,noisy,1
1141,too_low_volume,2
1142,clean,0
1143,clean,0
1144,clean,0
1145,too_low_volume,2
1146,noisy,1
1147,too_low_volume,2
1148,clean,0
1149,clean,0
1150,too_low_volume,2
1151,too_low_volume,2
1152,clean,0
1153,noisy,1
1154,noisy,1
1156,clean,0
1157,noisy,1
1158,too_low_volume,2
1159,noisy,1
1160,noisy,1
1161,noisy,1
1162,noisy,1
1163,noisy,1
1164,noisy,1
1165,too_low_volume,2
1166,noisy,1
1167,too_low_volume,2
1168,clean,0
1169,clean,0
1170,too_low_volume,2
1171,clean,0
1172,clean,0
1173,too_low_volume,2
1174,too_low_volume,2
1175,noisy,1
1176,too_low_volume,2
1177,too_low_volume,2
1178,too_low_volume,2
1179,too_low_volume,2
1180,too_low_volume,2
1181,too_low_volume,2
1182,too_low_volume,2
1183,too_low_volume,2
1184,too_low_volume,2
1185,too_low_volume,2
1186,clean,0
1187,too_low_volume,2
1188,clean,0
1189,too_low_volume,2
1190,noisy,1
1191,too_low_volume,2
1192,too_low_volume,2
1193,noisy,1
1194,noisy,1
1195,noisy,1
1196,too_low_volume,2
1198,clean,0
1199,clean,0
1200,clean,0
1201,too_low_volume,2
1202,too_low_volume,2
1203,too_low_volume,2
1204,noisy,1
1205,too_low_volume,2
1206,clean,0
1207,too_low_volume,2
1208,clean,0
1209,too_low_volume,2
1210,noisy,1
1211,too_low_volume,2
1212,noisy,1
1213,clean,0
1214,too_low_volume,2
1215,too_low_volume,2
1216,too_low_volume,2
1217,too_low_volume,2
1218,too_low_volume,2
1219,clean,0
1220,clean,0
1221,noisy,1
1222,too_low_volume,2
1223,too_low_volume,2
1224,clean,0
1225,too_low_volume,2
1226,too_low_volume,2
1227,too_low_volume,2
1228,too_low_volume,2
1229,noisy,1
1230,too_low_volume,2
1231,clean,0
1232,too_low_volume,2
1233,clean,0
1234,too_low_volume,2
1235,noisy,1
1236,too_low_volume,2
1237,noisy,1
1238,too_low_volume,2
1239,too_low_volume,2
1240,too_low_volume,2
1241,too_low_volume,2
1242,clean,0
1243,too_low_volume,2
1244,clean,0
1245,too_low_volume,2
1246,too_low_volume,2
1247,noisy,1
1248,noisy,1
1249,too_low_volume,2
1250,noisy,1
1251,too_low_volume,2
1252,noisy,1
1253,clean,0
1254,too_low_volume,2
1255,clean,0
1256,noisy,1
1257,too_low_volume,2
1258,noisy,1
1259,clean,0
1260,too_low_volume,2
1261,clean,0
1262,too_low_volume,2
1263,too_low_volume,2
1264,noisy,1
1265,clean,0
1266,noisy,1
1267,too_low_volume,2
1268,clean,0
1270,too_low_volume,2
1271,noisy,1
1272,too_low_volume,2
1273,noisy,1
1274,too_low_volume,2
1275,noisy,1
1276,clean,0
1277,noisy,1
1278,noisy,1
1279,noisy,1
1280,clean,0
1281,clean,0
1282,too_low_volume,2
1283,noisy,1
1284,too_low_volume,2
1285,too_low_volume,2
1286,too_low_volume,2
1287,too_low_volume,2
1288,noisy,1
1289,noisy,1
1290,too_low_volume,2
1291,too_low_volume,2
1292,clean,0
1293,too_low_volume,2
1294,too_low_volume,2
1295,noisy,1
1296,noisy,1
1297,noisy,1
1298,too_low_volume,2
1299,clean,0
1300,noisy,1
1301,noisy,1
1302,clean,0
1303,clean,0
1304,clean,0
1305,noisy,1
1306,too_low_volume,2
1307,clean,0
1308,too_low_volume,2
1309,too_low_volume,2
1310,noisy,1
1311,noisy,1
1312,too_low_volume,2
1313,clean,0
1314,clean,0
1315,clean,0
1316,noisy,1
1317,noisy,1
1318,too_low_volume,2
1319,noisy,1
1320,clean,0
1321,noisy,1
1322,clean,0
1323,noisy,1
1324,too_low_volume,2
1325,clean,0
1326,too_low_volume,2
1327,too_low_volume,2
1328,noisy,1
1329,too_low_volume,2
1330,clean,0
1331,clean,0
1332,noisy,1
1333,clean,0
1334,too_low_volume,2
1335,clean,0
1336,noisy,1
1337,too_low_volume,2
1338,too_low_volume,2
1339,noisy,1
1340,too_low_volume,2
1341,too_low_volume,2
1342,clean,0
1343,noisy,1
1344,too_low_volume,2
1345,clean,0
1346,too_low_volume,2
1348,too_low_volume,2
1349,too_low_volume,2
1350,too_low_volume,2
1351,clean,0
1352,clean,0
1353,noisy,1
1354,noisy,1
1355,clean,0
1356,noisy,1
1357,too_low_volume,2
1358,too_low_volume,2
1359,noisy,1
1360,noisy,1
1361,clean,0
1362,too_low_volume,2
1363,noisy,1
1364,too_low_volume,2
1365,noisy,1
1366,too_low_volume,2
1368,too_low_volume,2
1369,noisy,1
1370,noisy,1
1371,too_low_volume,2
1372,too_low_volume,2
1373,too_low_volume,2
1374,too_low_volume,2
1375,too_low_volume,2
1376,too_low_volume,2
1377,too_low_volume,2
1378,too_low_volume,2
1379,too_low_volume,2
1380,too_low_volume,2
1381,too_low_volume,2
1382,clean,0
1383,clean,0
1384,too_low_volume,2
1385,clean,0
1386,noisy,1
1387,clean,0
1388,noisy,1
1389,too_low_volume,2
1390,too_low_volume,2
1391,clean,0
1392,noisy,1
1393,clean,0
1394,too_low_volume,2
1395,too_low_volume,2
1396,clean,0
1397,too_low_volume,2
1398,too_low_volume,2
1399,too_low_volume,2
1400,noisy,1
1401,too_low_volume,2
1402,noisy,1
1403,clean,0
1404,clean,0
1405,too_low_volume,2
1406,noisy,1
1407,noisy,1
1408,too_low_volume,2
1409,clean,0
1410,too_low_volume,2
1411,clean,0
1412,noisy,1
1413,clean,0
1414,clean,0
1415,too_low_volume,2
1416,too_low_volume,2
1417,clean,0
1418,too_low_volume,2
1419,noisy,1
1420,noisy,1
1421,too_low_volume,2
1422,too_low_volume,2
1423,noisy,1
1424,too_low_volume,2
1425,too_low_volume,2
1426,clean,0
1427,too_low_volume,2
1428,too_low_volume,2
1429,clean,0
1430,too_low_volume,2
1431,too_low_volume,2
1432,clean,0
1433,clean,0
1434,too_low_volume,2
1435,too_low_volume,2
1436,too_low_volume,2
1437,clean,0
1438,clean,0
1439,clean,0
1440,too_low_volume,2
1441,clean,0
1442,clean,0
1443,clean,0
1444,noisy,1
1445,noisy,1
1446,noisy,1
1447,too_low_volume,2
1448,noisy,1
1449,noisy,1
1450,clean,0
1451,clean,0
1452,clean,0
1453,noisy,1
1454,noisy,1
1455,too_low_volume,2
1456,too_low_volume,2
1457,too_low_volume,2
1458,too_low_volume,2
1459,too_low_volume,2
1460,too_low_volume,2
1461,clean,0
1462,noisy,1
1463,too_low_volume,2
1464,clean,0
1466,noisy,1
1467,noisy,1
1468,clean,0
1469,noisy,1
1470,noisy,1
1471,clean,0
1472,clean,0
1473,clean,0
1475,noisy,1
1476,too_low_volume,2
1477,too_low_volume,2
1478,too_low_volume,2
1479,noisy,1
1480,too_low_volume,2
1481,clean,0
1482,clean,0
1483,noisy,1
1484,too_low_volume,2
1485,clean,0
1486,clean,0
1487,too_low_volume,2
1488,too_low_volume,2
1489,too_low_volume,2
1490,noisy,1
1491,noisy,1
1492,clean,0
1493,too_low_volume,2
1494,noisy,1
1495,too_low_volume,2
1496,clean,0
1497,noisy,1
1498,too_low_volume,2
1499,too_low_volume,2
1500,clean,0
1501,clean,0
1502,clean,0
1503,noisy,1
1504,too_low_volume,2
1505,clean,0
1506,too_low_volume,2
1507,clean,0
1508,too_low_volume,2
1509,noisy,1
1510,noisy,1
1511,clean,0
1512,too_low_volume,2
1513,clean,0
1514,too_low_volume,2
1515,noisy,1
1516,clean,0
1517,noisy,1
1518,clean,0
1519,noisy,1
1520,too_low_volume,2
1521,too_low_volume,2
1522,clean,0
1523,too_low_volume,2
1524,too_low_volume,2
